time,Satellite_No.,Satellite_Angle,Satellite_Azimuth,C/No,lan,lon,alt
105702,18,11,190,19,2459.5841,12117.5654,170
105707,10,72,308,42,2459.5841,12117.5654,170
105707,23,63,158,12,2459.5841,12117.5654,170
105707,28,36,257,39,2459.5841,12117.5654,170
105707,21,1,311,19,2459.5841,12117.5654,170
105712,10,72,308,42,2459.5841,12117.5654,170
105712,23,63,158,11,2459.5841,12117.5654,170
105712,28,36,257,39,2459.5841,12117.5654,170
105712,32,35,320,23,2459.5841,12117.5654,170
105717,10,72,307,43,2459.5841,12117.5654,170
105717,28,36,257,39,2459.5841,12117.5654,170
105717,32,36,320,23,2459.5841,12117.5654,170
105717,15,9,101,17,2459.5841,12117.5654,170
105722,10,72,307,43,2459.5841,12117.5654,170
105722,28,36,257,39,2459.5841,12117.5654,170
105722,32,36,320,23,2459.5841,12117.5654,170
105722,24,16,46,19,2459.5841,12117.5654,170
105727,10,72,307,43,2459.5841,12117.5654,170
105727,28,36,257,39,2459.5841,12117.5654,170
105727,32,36,320,24,2459.5841,12117.5654,170
105732,10,72,307,43,2459.5841,12117.5654,170
105732,25,58,131,17,2459.5841,12117.5654,170
105732,28,36,257,40,2459.5841,12117.5654,170
105732,32,36,320,25,2459.5841,12117.5654,170
105732,18,11,190,16,2459.5841,12117.5654,170
105737,10,72,307,43,2459.5852,12117.5696,159.8
105737,28,36,257,40,2459.5852,12117.5696,159.8
105737,32,36,320,24,2459.5852,12117.5696,159.8
105742,10,72,307,42,2459.5845,12117.5704,159.2
105742,25,58,131,26,2459.5845,12117.5704,159.2
105742,28,36,257,40,2459.5845,12117.5704,159.2
105742,32,36,320,24,2459.5845,12117.5704,159.2
105742,47,21,105,29,2459.5845,12117.5704,159.2
105747,10,72,307,42,2459.5845,12117.5704,159.2
105747,23,63,158,17,2459.5845,12117.5704,159.2
105747,25,58,130,27,2459.5845,12117.5704,159.2
105747,28,37,257,40,2459.5845,12117.5704,159.2
105747,32,36,321,24,2459.5845,12117.5704,159.2
105747,15,8,101,16,2459.5845,12117.5704,159.2
105752,10,72,307,42,2459.5845,12117.5704,159.2
105752,23,63,158,18,2459.5845,12117.5704,159.2
105752,25,58,130,26,2459.5845,12117.5704,159.2
105752,28,37,257,40,2459.5845,12117.5704,159.2
105752,32,36,321,24,2459.5845,12117.5704,159.2
105752,18,11,190,17,2459.5845,12117.5704,159.2
105752,31,9,241,17,2459.5845,12117.5704,159.2
105757,10,72,307,42,2459.5845,12117.5704,159.2
105757,23,63,158,18,2459.5845,12117.5704,159.2
105757,25,58,130,21,2459.5845,12117.5704,159.2
105757,28,37,257,40,2459.5845,12117.5704,159.2
105757,32,36,321,23,2459.5845,12117.5704,159.2
105802,10,72,307,42,2459.5932,12117.5763,130.9
105802,23,63,158,16,2459.5932,12117.5763,130.9
105802,25,58,130,19,2459.5932,12117.5763,130.9
105802,28,37,257,40,2459.5932,12117.5763,130.9
105802,32,36,321,23,2459.5932,12117.5763,130.9
105807,10,72,307,42,2459.5897,12117.5784,132.3
105807,28,37,257,40,2459.5897,12117.5784,132.3
105807,32,36,321,22,2459.5897,12117.5784,132.3
105807,21,1,311,13,2459.5897,12117.5784,132.3
105812,10,72,307,42,2459.5885,12117.58,131
105812,28,37,257,40,2459.5885,12117.58,131
105812,32,36,321,23,2459.5885,12117.58,131
105812,24,16,47,20,2459.5885,12117.58,131
105812,21,1,311,12,2459.5885,12117.58,131
105812,47,21,105,28,2459.5885,12117.58,131
105817,10,72,306,42,2459.5885,12117.5801,130.8
105817,28,37,257,40,2459.5885,12117.5801,130.8
105817,32,36,321,24,2459.5885,12117.5801,130.8
105817,21,1,311,13,2459.5885,12117.5801,130.8
105822,10,72,306,42,2459.5885,12117.5801,130.8
105822,23,63,158,16,2459.5885,12117.5801,130.8
105822,28,37,257,40,2459.5885,12117.5801,130.8
105822,32,36,321,24,2459.5885,12117.5801,130.8
105827,10,72,306,42,2459.5885,12117.5801,130.8
105827,23,63,158,16,2459.5885,12117.5801,130.8
105827,28,37,257,39,2459.5885,12117.5801,130.8
105827,32,36,321,27,2459.5885,12117.5801,130.8
105827,21,1,311,16,2459.5885,12117.5801,130.8
105832,10,72,306,42,2459.5885,12117.5801,130.8
105832,23,63,158,14,2459.5885,12117.5801,130.8
105832,28,37,257,39,2459.5885,12117.5801,130.8
105832,32,36,321,26,2459.5885,12117.5801,130.8
105832,15,8,101,17,2459.5885,12117.5801,130.8
105837,10,72,306,42,2459.5885,12117.5801,130.8
105837,23,63,158,15,2459.5885,12117.5801,130.8
105837,25,58,130,17,2459.5885,12117.5801,130.8
105837,28,37,257,39,2459.5885,12117.5801,130.8
105837,32,36,321,26,2459.5885,12117.5801,130.8
105837,15,8,101,18,2459.5885,12117.5801,130.8
105837,21,1,311,18,2459.5885,12117.5801,130.8
105842,10,72,306,42,2459.5885,12117.5801,130.8
105842,23,63,158,17,2459.5885,12117.5801,130.8
105842,28,37,257,39,2459.5885,12117.5801,130.8
105842,32,36,321,26,2459.5885,12117.5801,130.8
105842,31,9,241,16,2459.5885,12117.5801,130.8
105847,10,73,306,41,2459.5885,12117.5801,130.8
105847,23,62,159,18,2459.5885,12117.5801,130.8
105847,28,37,258,39,2459.5885,12117.5801,130.8
105847,32,36,321,27,2459.5885,12117.5801,130.8
105852,10,73,306,41,2459.5885,12117.5801,130.8
105852,23,62,159,16,2459.5885,12117.5801,130.8
105852,28,37,258,39,2459.5885,12117.5801,130.8
105852,32,36,321,27,2459.5885,12117.5801,130.8
105852,21,1,310,17,2459.5885,12117.5801,130.8
105857,10,73,306,41,2459.5885,12117.5801,130.8
105857,25,59,130,24,2459.5885,12117.5801,130.8
105857,28,37,258,39,2459.5885,12117.5801,130.8
105857,32,36,321,27,2459.5885,12117.5801,130.8
105902,10,73,306,41,2459.5885,12117.5801,130.8
105902,23,62,159,16,2459.5885,12117.5801,130.8
105902,25,59,130,24,2459.5885,12117.5801,130.8
105902,28,37,258,39,2459.5885,12117.5801,130.8
105902,32,36,321,27,2459.5885,12117.5801,130.8
105902,31,9,241,15,2459.5885,12117.5801,130.8
105907,10,73,306,41,2459.5885,12117.5801,130.8
105907,23,62,159,18,2459.5885,12117.5801,130.8
105907,25,59,130,25,2459.5885,12117.5801,130.8
105907,28,37,258,39,2459.5885,12117.5801,130.8
105907,32,36,321,27,2459.5885,12117.5801,130.8
105907,24,16,47,17,2459.5885,12117.5801,130.8
105912,10,73,306,40,2459.5885,12117.5801,130.8
105912,23,62,159,20,2459.5885,12117.5801,130.8
105912,25,59,130,24,2459.5885,12117.5801,130.8
105912,28,37,258,39,2459.5885,12117.5801,130.8
105912,32,36,321,27,2459.5885,12117.5801,130.8
105912,42,53,140,27,2459.5885,12117.5801,130.8
105917,10,73,305,41,2459.5889,12117.5687,163
105917,23,62,159,21,2459.5889,12117.5687,163
105917,25,59,129,25,2459.5889,12117.5687,163
105917,28,37,258,39,2459.5889,12117.5687,163
105917,32,36,321,27,2459.5889,12117.5687,163
105922,10,73,305,40,2459.5889,12117.5687,163
105922,23,62,159,15,2459.5889,12117.5687,163
105922,25,59,129,25,2459.5889,12117.5687,163
105922,28,37,258,39,2459.5889,12117.5687,163
105922,32,36,321,27,2459.5889,12117.5687,163
105922,15,8,101,17,2459.5889,12117.5687,163
105927,10,73,305,40,2459.5889,12117.5687,163
105927,25,59,129,26,2459.5889,12117.5687,163
105927,28,37,258,39,2459.5889,12117.5687,163
105927,32,36,321,27,2459.5889,12117.5687,163
105927,15,8,101,18,2459.5889,12117.5687,163
105932,10,73,305,41,2459.5889,12117.5687,163
105932,25,59,129,26,2459.5889,12117.5687,163
105932,28,37,258,39,2459.5889,12117.5687,163
105932,32,36,321,27,2459.5889,12117.5687,163
105932,21,1,310,16,2459.5889,12117.5687,163
105937,10,73,305,41,2459.5889,12117.5687,163
105937,25,59,129,26,2459.5889,12117.5687,163
105937,28,37,258,39,2459.5889,12117.5687,163
105937,32,36,321,27,2459.5889,12117.5687,163
105937,21,1,310,18,2459.5889,12117.5687,163
105942,10,73,305,41,2459.588,12117.5667,172.2
105942,25,59,129,26,2459.588,12117.5667,172.2
105942,28,37,258,39,2459.588,12117.5667,172.2
105942,32,36,321,24,2459.588,12117.5667,172.2
105942,15,8,101,17,2459.588,12117.5667,172.2
105947,10,73,305,40,2459.5874,12117.5674,171.7
105947,25,59,129,26,2459.5874,12117.5674,171.7
105947,28,37,258,39,2459.5874,12117.5674,171.7
105952,10,73,305,40,2459.5874,12117.5674,171.7
105952,25,59,129,25,2459.5874,12117.5674,171.7
105952,28,37,258,39,2459.5874,12117.5674,171.7
105952,32,36,321,23,2459.5874,12117.5674,171.7
105952,21,1,310,15,2459.5874,12117.5674,171.7
105957,10,73,305,40,2459.5874,12117.5675,170.6
105957,25,59,129,25,2459.5874,12117.5675,170.6
105957,28,37,258,39,2459.5874,12117.5675,170.6
105957,32,36,321,23,2459.5874,12117.5675,170.6
105957,21,1,310,15,2459.5874,12117.5675,170.6
110002,10,73,305,39,2459.5861,12117.5689,169.2
110002,25,59,129,25,2459.5861,12117.5689,169.2
110002,12,39,66,17,2459.5861,12117.5689,169.2
110002,28,37,258,38,2459.5861,12117.5689,169.2
110002,32,36,321,23,2459.5861,12117.5689,169.2
110002,24,16,47,17,2459.5861,12117.5689,169.2
110007,10,73,305,39,2459.5897,12117.567,168.4
110007,25,59,129,25,2459.5897,12117.567,168.4
110007,12,39,66,18,2459.5897,12117.567,168.4
110007,28,37,258,38,2459.5897,12117.567,168.4
110007,32,36,321,23,2459.5897,12117.567,168.4
110007,24,16,47,17,2459.5897,12117.567,168.4
110012,10,73,305,40,2459.5887,12117.5677,168.1
110012,25,59,129,25,2459.5887,12117.5677,168.1
110012,28,37,258,39,2459.5887,12117.5677,168.1
110012,32,36,321,24,2459.5887,12117.5677,168.1
110017,10,73,305,40,2459.5887,12117.5677,168.1
110017,25,59,129,25,2459.5887,12117.5677,168.1
110017,28,37,258,40,2459.5887,12117.5677,168.1
110017,32,36,321,24,2459.5887,12117.5677,168.1
110017,15,8,101,18,2459.5887,12117.5677,168.1
110022,10,73,305,41,2459.5887,12117.5677,168.1
110022,25,59,129,24,2459.5887,12117.5677,168.1
110022,28,37,258,40,2459.5887,12117.5677,168.1
110022,32,36,321,25,2459.5887,12117.5677,168.1
110022,21,1,310,18,2459.5887,12117.5677,168.1
110027,10,73,305,41,2459.5887,12117.5677,168.1
110027,25,59,129,24,2459.5887,12117.5677,168.1
110027,12,39,66,18,2459.5887,12117.5677,168.1
110027,28,37,258,40,2459.5887,12117.5677,168.1
110032,10,73,305,41,2459.5887,12117.5677,168.1
110032,25,59,129,23,2459.5887,12117.5677,168.1
110032,12,39,66,20,2459.5887,12117.5677,168.1
110032,28,37,258,40,2459.5887,12117.5677,168.1
110032,32,36,321,25,2459.5887,12117.5677,168.1
110032,15,8,101,17,2459.5887,12117.5677,168.1
110037,10,73,305,41,2459.5887,12117.5677,168.1
110037,25,59,129,23,2459.5887,12117.5677,168.1
110037,28,37,258,41,2459.5887,12117.5677,168.1
110037,32,36,321,25,2459.5887,12117.5677,168.1
110042,10,73,305,41,2459.5923,12117.5682,162.5
110042,25,59,129,23,2459.5923,12117.5682,162.5
110042,28,37,258,41,2459.5923,12117.5682,162.5
110042,32,36,321,25,2459.5923,12117.5682,162.5
110042,21,1,310,16,2459.5923,12117.5682,162.5
110047,10,73,305,41,2459.591,12117.5693,162
110047,25,59,129,24,2459.591,12117.5693,162
110047,28,37,258,41,2459.591,12117.5693,162
110047,32,36,321,26,2459.591,12117.5693,162
110052,10,73,305,41,2459.591,12117.5693,162
110052,25,59,129,24,2459.591,12117.5693,162
110052,28,37,258,41,2459.591,12117.5693,162
110052,32,36,321,26,2459.591,12117.5693,162
110057,10,73,305,41,2459.591,12117.5693,162
110057,25,59,129,24,2459.591,12117.5693,162
110057,28,37,258,41,2459.591,12117.5693,162
110057,32,36,321,26,2459.591,12117.5693,162
110057,31,10,241,16,2459.591,12117.5693,162
110102,10,73,305,41,2459.591,12117.5693,162
110102,25,59,129,24,2459.591,12117.5693,162
110102,28,37,258,41,2459.591,12117.5693,162
110102,32,36,321,27,2459.591,12117.5693,162
110107,10,73,305,41,2459.591,12117.5693,162
110107,23,62,159,16,2459.591,12117.5693,162
110107,25,59,129,24,2459.591,12117.5693,162
110107,28,37,258,41,2459.591,12117.5693,162
110107,32,36,321,27,2459.591,12117.5693,162
110112,10,73,305,41,2459.591,12117.5693,162
110112,23,62,159,15,2459.591,12117.5693,162
110112,28,37,258,41,2459.591,12117.5693,162
110112,32,36,321,27,2459.591,12117.5693,162
110112,21,1,310,16,2459.591,12117.5693,162
110117,10,73,305,41,2459.5798,12117.5809,151.6
110117,23,62,159,13,2459.5798,12117.5809,151.6
110117,28,37,258,41,2459.5798,12117.5809,151.6
110117,32,36,321,27,2459.5798,12117.5809,151.6
110117,21,1,310,16,2459.5798,12117.5809,151.6
110122,10,73,305,41,2459.5815,12117.5769,158.7
110122,28,37,258,40,2459.5815,12117.5769,158.7
110122,32,36,321,27,2459.5815,12117.5769,158.7
110127,10,73,305,41,2459.5815,12117.5769,158.7
110127,28,37,258,40,2459.5815,12117.5769,158.7
110127,32,36,321,28,2459.5815,12117.5769,158.7
110127,15,8,101,16,2459.5815,12117.5769,158.7
110132,10,73,305,41,2459.5815,12117.5769,158.7
110132,28,37,258,40,2459.5815,12117.5769,158.7
110132,32,36,321,28,2459.5815,12117.5769,158.7
110137,10,73,305,41,2459.5815,12117.5769,158.7
110137,28,37,258,40,2459.5815,12117.5769,158.7
110137,32,36,321,28,2459.5815,12117.5769,158.7
110142,10,73,305,41,2459.5815,12117.5769,158.7
110142,23,62,159,20,2459.5815,12117.5769,158.7
110142,25,59,129,24,2459.5815,12117.5769,158.7
110142,28,37,258,40,2459.5815,12117.5769,158.7
110142,32,36,321,28,2459.5815,12117.5769,158.7
110147,10,74,302,41,2459.5815,12117.5769,158.7
110147,23,61,159,21,2459.5815,12117.5769,158.7
110147,25,60,127,24,2459.5815,12117.5769,158.7
110147,28,38,259,40,2459.5815,12117.5769,158.7
110147,32,37,322,28,2459.5815,12117.5769,158.7
110147,21,1,309,16,2459.5815,12117.5769,158.7
110152,10,74,302,41,2459.5795,12117.5898,129.8
110152,23,61,159,21,2459.5795,12117.5898,129.8
110152,25,60,127,25,2459.5795,12117.5898,129.8
110152,28,38,259,40,2459.5795,12117.5898,129.8
110152,32,37,322,28,2459.5795,12117.5898,129.8
110152,15,8,102,17,2459.5795,12117.5898,129.8
110157,10,74,302,41,2459.5795,12117.5898,129.8
110157,23,61,159,21,2459.5795,12117.5898,129.8
110157,25,60,127,25,2459.5795,12117.5898,129.8
110157,28,38,259,40,2459.5795,12117.5898,129.8
110157,32,37,322,28,2459.5795,12117.5898,129.8
110202,10,74,302,42,2459.5795,12117.5898,129.8
110202,23,61,159,22,2459.5795,12117.5898,129.8
110202,25,60,127,25,2459.5795,12117.5898,129.8
110202,28,38,259,40,2459.5795,12117.5898,129.8
110202,32,37,322,29,2459.5795,12117.5898,129.8
110207,10,74,302,42,2459.5795,12117.5898,129.8
110207,23,61,159,23,2459.5795,12117.5898,129.8
110207,25,60,127,24,2459.5795,12117.5898,129.8
110207,28,38,259,40,2459.5795,12117.5898,129.8
110207,32,37,322,29,2459.5795,12117.5898,129.8
110212,10,74,302,42,2459.5795,12117.5898,129.8
110212,23,61,159,23,2459.5795,12117.5898,129.8
110212,25,60,127,24,2459.5795,12117.5898,129.8
110212,28,38,259,40,2459.5795,12117.5898,129.8
110212,15,8,102,17,2459.5795,12117.5898,129.8
110217,10,74,302,42,2459.5795,12117.5898,129.8
